,type,subType,name,detailedName,timeZoneOffset,iataCode,relevance,geoCode.latitude,geoCode.longitude,address.cityName,address.cityCode,address.countryName,address.countryCode,address.regionCode,distance.value,distance.unit,analytics.flights.score,analytics.travelers.score
0,location,AIRPORT,HEATHROW,LONDON/GB:HEATHROW,+01:00,LHR,360.5614,51.47294,-0.45061,LONDON,LON,UNITED KINGDOM,GB,EUROP,10,KM,39,45
1,location,AIRPORT,GATWICK,LONDON/GB:GATWICK,+01:00,LGW,53.99024,51.15609,-0.17818,LONDON,LON,UNITED KINGDOM,GB,EUROP,49,KM,27,27
2,location,AIRPORT,LUTON,LONDON/GB:LUTON,+01:00,LTN,32.81459,51.87472,-0.36833,LONDON,LON,UNITED KINGDOM,GB,EUROP,34,KM,11,10
3,location,AIRPORT,STANSTED,LONDON/GB:STANSTED,+01:00,STN,27.45404,51.885,0.235,LONDON,LON,UNITED KINGDOM,GB,EUROP,58,KM,16,15
4,location,AIRPORT,CITY AIRPORT,LONDON/GB:CITY AIRPORT,+01:00,LCY,21.89597,51.50528,0.05528,LONDON,LON,UNITED KINGDOM,GB,EUROP,35,KM,8,4
5,location,AIRPORT,BIRMINGHAM,BIRMINGHAM/GB:BIRMINGHAM,+01:00,BHX,7.71551,52.45386,-1.74803,BIRMINGHAM,BHX,UNITED KINGDOM,GB,EUROP,133,KM,10,8
6,location,AIRPORT,MANCHESTER AIRPORT,MANCHESTER/GB:MANCHESTER AIRPO,+01:00,MAN,7.70002,53.35374,-2.27495,MANCHESTER,MAN,UNITED KINGDOM,GB,EUROP,234,KM,18,17
7,location,AIRPORT,SOUTHAMPTON,SOUTHAMPTON/GB,+01:00,SOU,4.48622,50.95026,-1.3568,SOUTHAMPTON,SOU,UNITED KINGDOM,GB,EUROP,94,KM,4,2
8,location,AIRPORT,BRISTOL,BRISTOL/GB:BRISTOL,+01:00,BRS,4.08428,51.38267,-2.71909,BRISTOL,BRS,UNITED KINGDOM,GB,EUROP,159,KM,7,5
9,location,AIRPORT,EAST MIDLANDS,NOTTINGHAM/GB:EAST MIDLANDS,+01:00,EMA,2.65515,52.83111,-1.32806,NOTTINGHAM,NQT,UNITED KINGDOM,GB,EUROP,152,KM,4,3
